,Task,Title
15887,Contact potential vendors to determine material availability.,Logistics Analysts
15884,Develop or maintain payment systems to ensure accuracy of vendor payments.,Logistics Analysts
7276,Gather and organize information on problems or procedures.,Management Analysts
7277,Analyze data gathered and develop solutions or alternative methods of proceeding.,Management Analysts
7282,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",Management Analysts
7285,"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.",Management Analysts
7363,Furnish taxpayers with sufficient information and advice to ensure correct tax form completion.,Tax Preparers
20854,Identify and recommend energy savings strategies to achieve more energy-efficient operation.,"Energy Engineers, Except Wind and Solar"
18156,Monitor and analyze energy consumption.,"Energy Engineers, Except Wind and Solar"
20858,Verify energy bills and meter readings.,"Energy Engineers, Except Wind and Solar"
20861,Prepare energy-related project reports or related documentation.,"Energy Engineers, Except Wind and Solar"
18157,Promote awareness or use of alternative or renewable energy sources.,"Energy Engineers, Except Wind and Solar"
19648,Write or install energy management routines for building automation systems.,"Energy Engineers, Except Wind and Solar"
3775,"Analyze the probable outcomes of cases, using knowledge of legal precedents.",Lawyers
20877,"Prepare, draft, and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.",Lawyers
3783,"Study Constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases.",Lawyers
23269,Record and edit the minutes of meetings and distribute to appropriate officials or staff members.,"Court, Municipal, and License Clerks"
23270,"Question applicants to obtain required information, such as name, address, or age, and record data on prescribed forms.","Court, Municipal, and License Clerks"
23271,Issue public notification of all official activities or meetings.,"Court, Municipal, and License Clerks"
23272,Record and maintain all vital and fiscal records and accounts.,"Court, Municipal, and License Clerks"
23278,"Record case dispositions, court orders, or arrangements made for payment of court fees.","Court, Municipal, and License Clerks"
23273,"Answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.","Court, Municipal, and License Clerks"
23274,Prepare meeting agendas or packets of related information.,"Court, Municipal, and License Clerks"
23288,"Answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.","Court, Municipal, and License Clerks"
23281,Prepare documents recording the outcomes of court proceedings.,"Court, Municipal, and License Clerks"
23275,"Prepare and issue orders of the court, such as probation orders, release documentation, sentencing information, or summonses.","Court, Municipal, and License Clerks"
23283,"Perform general office duties, such as taking or transcribing dictation, typing or proofreading correspondence, distributing or filing official forms, or scheduling appointments.","Court, Municipal, and License Clerks"
23290,Instruct parties about timing of court appearances.,"Court, Municipal, and License Clerks"
9739,"Keep records of assigned cases, and prepare required reports.","Eligibility Interviewers, Government Programs"
9736,"Compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.","Eligibility Interviewers, Government Programs"
9735,"Initiate procedures to grant, modify, deny, or terminate assistance, or refer applicants to other agencies for assistance.","Eligibility Interviewers, Government Programs"
9741,"Prepare applications and forms for applicants for such purposes as school enrollment, employment, and medical services.","Eligibility Interviewers, Government Programs"
