,Task,Title
3,Contact organizations to explain services and facilities offered.,Advertising and Promotions Managers
4,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Advertising and Promotions Managers
5,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Advertising and Promotions Managers
6,Review project plans to plan and coordinate project activity.,Computer and Information Systems Managers
7,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Computer and Information Systems Managers
8,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Computer and Information Systems Managers
9,Stay abreast of advances in technology.,Computer and Information Systems Managers
10,Review and approve all systems charts and programs prior to their implementation.,Computer and Information Systems Managers
11,Prepare and review operational reports or project progress reports.,Computer and Information Systems Managers
12,Evaluate data processing proposals to assess project feasibility and requirements.,Computer and Information Systems Managers
13,Control operational budget and expenditures.,Computer and Information Systems Managers
14,"Manage backup, security and user help systems.",Computer and Information Systems Managers
15,Oversee the flow of cash or financial instruments.,Financial Managers
16,Evaluate data pertaining to costs to plan budgets.,Financial Managers
17,Develop or analyze information to assess the current or future financial status of firms.,Financial Managers
18,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Financial Managers
19,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Financial Managers
21,Prepare operational or risk reports for management analysis.,Financial Managers
22,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Financial Managers
23,Analyze and classify risks and investments to determine their potential impacts on companies.,Financial Managers
24,Review reports of securities transactions or price lists to analyze market conditions.,Financial Managers
25,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Treasurers and Controllers
320,Verify legal descriptions of properties by comparing them to county records.,Appraisers and Assessors of Real Estate
323,Draw land diagrams to be used in appraisal reports to support findings.,Appraisers and Assessors of Real Estate
332,Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,Credit Analysts
335,Prepare reports that include the degree of risk involved in extending credit or lending money.,Credit Analysts
338,"Evaluate customer records and recommend payment plans, based on earnings, savings data, payment history, and purchase activity.",Credit Analysts
339,"Manage client portfolios, keeping client plans up-to-date.",Personal Financial Advisors
341,Investigate available investment opportunities to determine compatibility with client financial plans.,Personal Financial Advisors
352,"Explain services or policies to clients, such as debt management program rules, advantages and disadvantages of using services, or creditor concession policies.",Credit Counselors
353,"Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.",Credit Counselors
354,"Prioritize client debt repayment to avoid dire consequences, such as bankruptcy or foreclosure or to reduce overall costs, such as by paying high-interest or short-term loans first.",Credit Counselors
358,Prepare written documents to establish contracts with or communicate financial recommendations to clients.,Credit Counselors
359,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries.",Credit Counselors
369,"Approve loans within specified limits, and refer loan applications outside those limits to management for approval.",Loan Officers
370,Submit applications to credit analysts for verification and recommendation.,Loan Officers
373,"Obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information.",Loan Officers
374,Stay abreast of new types of loans and other financial services and products to better meet customers' needs.,Loan Officers
391,"Compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables.",Tax Preparers
400,Provide application or analytical support to researchers or traders on issues such as valuations or data.,Financial Quantitative Analysts
401,Maintain or modify all financial analytic models in use.,Financial Quantitative Analysts
403,Devise or apply independent models or tools to help verify results of analytical systems.,Financial Quantitative Analysts
405,"Identify, track, or maintain metrics for trading system operations.",Financial Quantitative Analysts
408,Expand or modify system to serve new purposes or improve work flow.,Computer Systems Analysts
411,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Computer Systems Analysts
