O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,use_computer,use_computer_strict,frequency_category1_value,frequency_category2_value,frequency_category3_value,frequency_category4_value,frequency_category5_value,frequency_category6_value,frequency_category7_value,frequency_category,within_scope,within_scope_output
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,73,08/2018,Incumbent,FALSE,FALSE,1.02,8.65,23.65,25.65,25.51,8.5,7.01,4,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,72,08/2018,Incumbent,TRUE,TRUE,2.15,9.79,27.42,21.09,24.49,9.57,5.49,3,FALSE,No.
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,72,08/2018,Incumbent,FALSE,FALSE,0,17.06,11.79,21.68,24.29,20.26,4.92,5,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,71,08/2018,Incumbent,FALSE,TRUE,3.55,25.3,27.69,23.9,14.7,4.85,0,3,FALSE,No.
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,71,08/2018,Incumbent,FALSE,FALSE,0,6.17,21.57,25.9,26.81,17.74,1.81,5,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Core,71,08/2018,Incumbent,TRUE,FALSE,1.78,18.36,20.34,18.71,28.41,7.7,4.69,5,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,72,08/2018,Incumbent,FALSE,FALSE,3.64,11.74,17.45,25.23,27.78,12.14,2.02,5,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,71,08/2018,Incumbent,TRUE,TRUE,9.16,36.44,36.59,14.28,2.36,1.17,0,3,TRUE,"Yes.
A detailed budget report outlining estimated program costs for the campaign plan."
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,74,08/2018,Incumbent,FALSE,TRUE,0,17.66,22.85,22.46,27.16,8.42,1.45,5,FALSE,No.
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,71,08/2018,Incumbent,TRUE,TRUE,3.19,16.15,46.17,14.89,15.39,3.01,1.19,3,TRUE,"Yes.
A report detailing the cost effectiveness and performance metrics of the promotion campaigns."
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,73,08/2018,Incumbent,TRUE,FALSE,4.41,18.73,19.86,28.59,19.96,6.07,2.37,4,N/A,N/A
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,72,08/2018,Incumbent,TRUE,TRUE,2.23,34.26,26.21,14.93,20.34,2.02,0,2,TRUE,"Yes.
A report detailing the budget, expenses, and response rates of each campaign, along with an evaluation based on program objectives and industry norms."
